RouteID,RouteName,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,RouteLength,AVGPassengersPerWeek,StationsInRoute,AverageSpeed,AverageTripDuration,DailyRides,WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership
13430,430.0,אגד,אשדוד-אשקלון-ירושלים,י-ם,ירושלים,מטה יהודה,בינעירוני,מהיר,סדיר,27.6,0.1,13.0,49.07,33.75,59.0,295.0,181.6,908.3,3.1,0.0,0.0,1.5,1.9,6.0,3.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 12:00-14:59
13430,430.0,אגד,אשדוד-אשקלון-ירושלים,י-ם,מטה יהודה,ירושלים,בינעירוני,מהיר,סדיר,28.2,0.1,12.0,47.14,35.89,62.0,310.0,166.0,830.0,2.7,0.0,1.1,4.0,2.9,2.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 06:00-08:59
13445,445.0,מטרופולין,בקעת אונו אלעד,גוש דן,תל אביב יפו,נמל תעופה בן גוריון,בינעירוני,מאסף,סדיר,32.4,0.1,22.0,32.16,60.45,20.0,120.0,59.0,345.3,2.9,1.4,3.4,9.7,2.0,2.8,0.6,1.2,0.0,3.7,6.1,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,ימי חול - 06:00-08:59
13445,445.0,מטרופולין,בקעת אונו אלעד,גוש דן,נמל תעופה בן גוריון,תל אביב יפו,בינעירוני,מאסף,סדיר,32.3,0.1,22.0,34.85,55.61,21.0,124.0,42.6,246.2,2.0,0.4,0.4,1.7,1.2,2.9,4.7,1.6,0.0,0.8,2.3,2.4,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,שישי - 12:00-14:59
13445,445.0,מטרופולין,בקעת אונו אלעד,גוש דן,תל אביב יפו,נמל תעופה בן גוריון,בינעירוני,מאסף,סדיר,32.4,0.1,22.0,30.21,64.35,20.0,120.0,86.8,511.3,4.3,2.8,4.6,12.2,3.6,4.8,1.2,1.8,0.0,8.2,8.9,4.7,3.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,ימי חול - 06:00-08:59
13445,445.0,מטרופולין,בקעת אונו אלעד,גוש דן,נמל תעופה בן גוריון,תל אביב יפו,בינעירוני,מאסף,סדיר,32.9,0.1,22.0,32.88,60.04,21.0,125.0,61.6,359.8,2.9,1.2,0.9,2.8,2.3,4.2,5.2,2.2,0.0,2.7,3.5,3.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,ימי חול - 15:00-18:59
13450,450.0,גלים,רהט והנגב המערבי,הדרום,רהט,באר שבע,בינעירוני,מאסף,סדיר,24.6,0.5,28.0,36.2,40.77,37.0,204.0,426.5,2313.4,11.3,0.0,13.1,15.7,16.2,14.8,3.1,2.0,0.0,0.0,16.3,7.5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,שישי - 06:00-08:59
13450,450.0,גלים,רהט והנגב המערבי,הדרום,באר שבע,רהט,בינעירוני,מאסף,סדיר,25.0,0.4,26.0,33.74,44.46,41.0,223.0,398.5,2111.0,9.5,0.0,0.0,6.6,7.4,14.0,9.2,7.4,0.0,0.0,3.0,5.7,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 12:00-14:59
13450,450.0,גלים,רהט והנגב המערבי,הדרום,רהט,באר שבע,בינעירוני,מאסף,סדיר,24.6,0.3,28.0,34.41,42.89,37.0,204.0,307.3,1723.1,8.4,0.0,11.5,11.0,11.4,9.8,2.3,2.0,0.0,0.0,14.9,9.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,שישי - 06:00-08:59
13450,450.0,גלים,רהט והנגב המערבי,הדרום,באר שבע,רהט,בינעירוני,מאסף,סדיר,25.0,0.3,26.0,33.4,44.91,41.0,223.0,275.4,1496.3,6.7,0.0,0.0,4.6,6.1,9.5,5.7,6.0,0.0,0.0,3.6,5.5,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,שישי - 12:00-14:59
